q,n,kind,lambda_q,ratio
41,10000,prime,40,4.3429448190325175
42,10000,composite,6,0.6514417228548777
43,10000,prime,42,4.560092059984144
44,10000,composite,10,1.0857362047581294
45,10000,composite,12,1.3028834457097553
46,10000,composite,22,2.3886196504678847
47,10000,prime,46,4.994386541887396
48,10000,composite,4,0.43429448190325176
49,10000,prime_power,42,4.560092059984144
50,10000,composite,20,2.1714724095162588
51,10000,composite,16,1.737177927613007
52,10000,composite,12,1.3028834457097553
53,10000,prime,52,5.645828264742273
54,10000,composite,18,1.954325168564633
55,10000,composite,20,2.1714724095162588
56,10000,composite,6,0.6514417228548777
57,10000,composite,18,1.954325168564633
58,10000,composite,28,3.0400613733227626
59,10000,prime,58,6.297269987597151
60,10000,composite,4,0.43429448190325176
61,10000,prime,60,6.514417228548777
62,10000,composite,30,3.2572086142743886
63,10000,composite,6,0.6514417228548777
64,10000,prime_power,16,1.737177927613007
65,10000,composite,12,1.3028834457097553
66,10000,composite,10,1.0857362047581294
67,10000,prime,66,7.165858951403655
68,10000,composite,16,1.737177927613007
69,10000,composite,22,2.3886196504678847
70,10000,composite,12,1.3028834457097553
71,10000,prime,70,7.6001534333069065
72,10000,composite,6,0.6514417228548777
73,10000,prime,72,7.817300674258532
74,10000,composite,36,3.908650337129266
75,10000,composite,20,2.1714724095162588
76,10000,composite,18,1.954325168564633
77,10000,composite,30,3.2572086142743886
78,10000,composite,12,1.3028834457097553
79,10000,prime,78,8.46874239711341
80,10000,composite,4,0.43429448190325176
81,10000,prime_power,54,5.862975505693899
82,10000,composite,40,4.3429448190325175
83,10000,prime,82,8.903036879016662
84,10000,composite,6,0.6514417228548777
85,10000,composite,16,1.737177927613007
86,10000,composite,42,4.560092059984144
87,10000,composite,28,3.0400613733227626
88,10000,composite,10,1.0857362047581294
89,10000,prime,88,9.554478601871539
90,10000,composite,12,1.3028834457097553
91,10000,composite,12,1.3028834457097553
92,10000,composite,22,2.3886196504678847
93,10000,composite,30,3.2572086142743886
94,10000,composite,46,4.994386541887396
95,10000,composite,36,3.908650337129266
96,10000,composite,8,0.8685889638065035
97,10000,prime,96,10.423067565678043
98,10000,composite,42,4.560092059984144
99,10000,composite,30,3.2572086142743886
100,10000,composite,20,2.1714724095162588
101,10000,prime,100,10.857362047581296
102,10000,composite,16,1.737177927613007
103,10000,prime,102,11.074509288532921
104,10000,composite,12,1.3028834457097553
105,10000,composite,12,1.3028834457097553
106,10000,composite,52,5.645828264742273
107,10000,prime,106,11.508803770436172
108,10000,composite,18,1.954325168564633
109,10000,prime,108,11.725951011387798
110,10000,composite,20,2.1714724095162588
111,10000,composite,36,3.908650337129266
112,10000,composite,12,1.3028834457097553
113,10000,prime,112,12.16024549329105
114,10000,composite,18,1.954325168564633
115,10000,composite,44,4.777239300935769
116,10000,composite,28,3.0400613733227626
117,10000,composite,12,1.3028834457097553
118,10000,composite,58,6.297269987597151
119,10000,composite,48,5.211533782839021
120,10000,composite,4,0.43429448190325176
